,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
35,UPI-DOMINOS PIZZA-DOMINOSPIZZA.41478109@HDFCBANK-HDFC0000001-311024685366-PIZZA,485.94,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
36,UPI-VALIANT VENTURES-1107VALIANT@FBL-FDRL0001437-311025785626-ICE CREAM,164.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
39,UPI-BIGBASKET-BIGBASKET1@PAYTM-PYTM0123456-311148011102-UPI,262.25,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
48,UPI-TATA STARBUCKS PRIVA-TATASTARBUCKSLIMITED.41924689@HDFCBANK-HDFC0000001-311661809144-STARBUCKS,352.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
59,UPI-TATA STARBUCKS PRIVA-TATASTARBUCKSLIMITED.41924689@HDFCBANK-HDFC0000001-312345202188-VANILLA MILKSHAKE,352.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
89,UPI-ABHISHEK MITTAL-ABBUMITTAL@OKHDFCBANK-HDFC0004386-314119453109-DOWNTOWN PUB LUNCH,933.34,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
93,UPI-RAINBOW FOOD MART-PAYTMQR2810050501012GP0SRP863UV@PAYTM-PYTM0123456-314253189700-MARKER PENS,85.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
102,UPI-RAINBOW FOOD MART-PAYTMQR2810050501012GP0SRP863UV@PAYTM-PYTM0123456-314665446007-BREAD,90.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
104,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-314773225917-RAINBOW GROCERY,92.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
107,UPI-YOGESH  MODI-9784877567@YBL-KKBK0000180-314913409019-STARBUCKS,655.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
112,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-315295922040-GROCERY,218.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
116,UPI-RAINBOW FOOD MART-PAYTMQR2810050501012GP0SRP863UV@PAYTM-PYTM0123456-352017683472-COFFEE,590.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
