,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
0,UPI-HDFC BANK CREDIT CAR-PAYTM-NEFT@PAYTM-PYTM0123456-309183095943-OID20719299680@PAY,27774.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
4,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
6,ACH D- BD-UNICEF-TPJA2463599,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
9,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-309687180547-WORKSHOP FEES,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
10,UPI-PAYU PAYMENTS PRIVAT-PAYUMONEY.PAYU@INDUS-INDB0002201-309742756325-UPI TRANSACTION,518.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
11,UPI-PAYU PAYMENTS PRIVAT-PAYUMONEY.PAYU@INDUS-INDB0002201-309742757685-UPI TRANSACTION,1036.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
16,UPI-SRI RANGANATHA MEDIC-PAYTMQR281005050101YYUK2ZSZUZFL@PAYTM-PYTM0123456-309943444274-MEDICINES,245.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
17,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
18,UPI-TAGMANGO PVT LTD-TAGMANGOPVTLTD.RZP@SBI-SBIN0016209-310078160845-TAGMANGOREGISTRATI,2699.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
20,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-310212541326-MARCH FEES,1600.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
23,UPI-APOLLO PHARMACY-PAYTM-64646105@PAYTM-PYTM0123456-347004935451-OIDAPOLLOHOSPITALS,591.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
27,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
32,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
38,UPI-MEENAKSHI PARASURAM-MEENAKSHI.PARASURAM@OKHDFCBANK-HDFC0000013-311135279076-UPI,2400.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
42,UPI-ARUNA KUMARI T-ARUNATV@OKHDFCBANK-HSBC0560002-311397225129-CONCERT TICKETS,1036.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
43,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
49,UPI-PAYU PAYMENTS PRIVAT-03IDNEFO0052.PAYU@INDUS-INDB0002201-311667748084-UPI,500.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
54,UPI-HDFC BANK CREDIT CAR-PAYTM-NEFT@PAYTM-PYTM0123456-312168181871-OID20959359664@PAY,11045.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
62,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
63,ACH D- BD-UNICEF-TPJA2627205,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
66,IB FUNDS TRANSFER CR-00601050212874-MEENAKSHI PARASURAM,0.0,2990.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
67,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-312739775362-PAY TO ANUSHREE,6.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
72,UPI-MR RAJU P S-RAJAPSRINIVAS171@OKICICI-IDIB000R005-312913400488-MILK COUPONS,1400.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
73,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
76,UPI-MANGALA KARTHIK-MANGALAKARTHIK@OKICICI-ICIC0000169-313170992320-APRIL FEES,800.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
78,ACH D- INDIAN CLEARING CORP-P6312625X030,5000.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
82,UPI-ANUSHREEG-BHARATPE.0102079456@INDUS-INDB0001006-313704399253-PAY TO ANUSHREE,50.0,0.0,1396364.0,46987.33,-1349376.67,-112448.05583333333
